en,ig
Icon,Mmem
Program,Program
Show the splash screen,Gosi inyogo ngosi ndubanye
Show the splash screen when the session starts up,Gosi inyogo ngosi ndubanye mgbe oge mmem na-ebido
Save sessions,Chekwaa oge mmem
"If enabled, gnome-session will save the session automatically. Otherwise, the logout dialog will have an option to save the session.","Ọ bụrụ na a hụpụrụ ya, gnome menu ga-echekwa oge mmem ahụ na nkeonwe ya, dayalọọgụ mpụta ahụ ga-enwe nhọrọ ịchekwa oge mmem ahụ."
Logout prompt,Ọ̀gwá mgbe ọ̀pụ̀pụ́
"If enabled, gnome-session will prompt the user before ending a session.","Ọ bụrụ na a hapụrụ ya, gnome-session ga-agwa ojieme mgbe ọ ga-anabata ozi tupuu a na-akwụsị oge mmem."
Preferred Image to use for login splash screen,Inyogo nke a kara chọọ a ga-eji maka mbanye inyogo ngosi ndubanye
This is a relative path value based off the $datadir/pixmaps/ directory. Sub-directories and image names are valid values. Changing this value will effect the next session login.,Nke a bụ nyiri ụzọ valiu kwụpụrụ n'ihenlereanya nke $datadir/pixmaps/. Ihenlereanya-keobere na aha inyogo bụ valiu nkeisi. Ịgbanwe valui a ga-emetụta mbata oge mmem n'esonụ̄.
Default session,Gbuo oge mmem
List of applications that are part of the default session.,Usoro ahụ nke ndị ebidorola n'oge mmem usoroiheomume.
Window Manager,Onyenlekọta Windo
Panel,Paneelụ ahụ
File Manager,Onyenlekọta Windo
Additional startup _programs:,Mgbakwunye mbido _programs:
Startup Programs,Mbido Programs
Options,Ihenhọrọ ogemmem
Comm_ent:,Iwu
Co_mmand:,Iwu
Starting %s,Ịbido
Disable connection to session manager,Enweghị ike isụnye n'onyenlekọta oge mmem
Specify session management ID,Zipụta aha oge mmem ka ebubata
Session management options:,Ihenhọrọ ogemmem
Show session management options,Proxy Onyenlekọta ogemmem
Logout Anyway,Ńgwānụ́ banye
Hibernate Anyway,Ńgwānụ́ banye
Shutdown Anyway,Ńgwānụ́ banye
Reboot Anyway,Ńgwānụ́ banye
_Log Out,_Mmpụta
_Restart,Bidogharịa
_Shut Down,Gb_anyụọ
- the GNOME session manager,Enweghị ike isụnye n'onyenlekọta oge mmem
- GNOME Splash Screen,Gosi inyogo ngosi ndubanye
Log out,_Mmpụta
Use dialog boxes for errors,Jiri igbe dayalọọgụ
Set the current session name,Kpokọọ oge mmem nọ mgbe ahụ
Kill session,Gbuo oge mmem
Could not connect to the session manager,Enweghị ike isụnye n'onyenlekọta oge mmem
The name of the startup program cannot be empty,Mbido iwu ahụ agaghị eghenwu oghe
"If enabled, gnome-session will save the session automatically.","Ọ bụrụ na a hapụrụ ya, gnome-session ga-agwa ojieme mgbe ọ ga-anabata ozi tupuu a na-akwụsị oge mmem."
Log Out Anyway,Ńgwānụ́ banye
Shut Down Anyway,Ńgwānụ́ banye
Session to use,Ogemmem
Custom Session,Ogemmem nọ mgbe ahụ
_New Session,_Ogemmem:
_Remove Session,Chekwaa oge mmem
Rena_me Session,Ogemmem nọ mgbe ahụ
Allow logout,Jụ_ọ ná mpụta
_Log out,_Mmpụta
Session %d,Ogemmem
A session named ‘%s’ already exists,Aha oge mmem nọbu anọ
Reboot,Ńgwānụ́ banye
Restart Anyway,Ńgwānụ́ banye
Desktop,Elu
Window Management,Onyenlekọta windo:
No terminal command has been defined.,Onweghị ntiiwu ngwaọrụ mbubata na mbupụ ozi akọwarala.
"metacity %s Copyright (C) 2001-%s Havoc Pennington, Red Hat, Inc., and others This is free software; see the source for copying conditions. There is NO warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.","metacity %s Copyright (C) 2001=2002 Havoc Pennington, Red Hat, Inc., nakwa ndị ọzọ Nke a bụ sọftwwịa efu; hụ́ nsirinweta maka ọnọdụ ndebata. Onweghị Warantíì; ọbụnaghị maka AZUMAAHỊA mọọbụ IKE MAKA IHEOMUME AKWADORO IME."
Failed to scan themes directory: %s,Ọdịda nke ị skáànụ̀ isiokwu ihenlereanya: %s
Could not find a theme! Be sure %s exists and contains the usual themes.,Enwetaghịnwu isiokwu! sàá anya mmiri %s mepụta ma mejupụta isiokwu ndị ahụ dị bu adị.
Failed to restart: %s,Ọdịda n'ibidogharị: %s
GConf key '%s' is set to an invalid value,Kíì GConf '%s' ka ekpokọtara n'uru na-enweghị isi
%d stored in GConf key %s is out of range %d to %d,%d echekwara na kíì GConf %s apụọla n'usoro 0 na %d
"GConf key ""%s"" is set to an invalid type","Kíì GCon ""%s"" ka ekpokọtara n'ụdị enweghị isi"
Workarounds for broken applications disabled. Some applications may not behave properly.,Rụgharịa maka usoroiheomume mebirila emebi. Ụfọdụ usoroiheomume nwere ike ha agaghị akpa ezi agwa.
"Could not parse font description ""%s"" from GConf key %s","Agaghị enwenwu ike itọsasị nkọwa ihumkpụrụedemede ""%s"" site na kíì GCon %s"
"""%s"" found in configuration database is not a valid value for mouse button modifier","""%s"" Enwetara na kọnfịgọreshiọn databéèzì abụghị uru nwere isi maka omemmegharị bọtịn máụ̀sụ̀"
Error setting number of workspaces to %d: %s,Ndehie na-ahazi ọnụọgụgụ nke wọ́kspéèsì na %d: %s
Workspace %d,Wọ́kspéèsì %d
"""%s"" found in configuration database is not a valid value for keybinding ""%s""","""%s"" enwetara na kọnfịgọreshiọn databéèzì abụghi uru nwere isi maka kíìbaịndịn ""%s"""
"Error setting name for workspace %d to ""%s"": %s","Ndehie na-ahazi aha maka wọ́kspéèsì %d na""%s"": %s"
Error setting compositor status: %s,"Ndehie na-ahazi aha maka wọ́kspéèsì %d na""%s"": %s"
Screen %d on display '%s' is invalid,Inyogo %d ná ngosi '%s' enweghị isi
"Screen %d on display ""%s"" already has a window manager; try using the --replace option to replace the current window manager.","Inyogo %d ná ngosi ""%s"" ènwéláàrị́ị̀ onyenlekọta windo; nwàá iji ngwaọrụ ihenhọrọ nke --nnọchi ka ọ nọchie onyenlekọta windo nọ nụ̄."
"Could not acquire window manager selection on screen %d display ""%s""","Agaghị enwenwu ike ịnata nhọrọ onyenlekọta windo na %d ngosi inyogo ""%s"""
"Screen %d on display ""%s"" already has a window manager","Ngosi %d inyogo ""%s"" ènwéláàrị́ị̀ onyenlekọta windo"
"Could not release screen %d on display ""%s""","Agaghị ahapụnwu ngosi inyogo %d ""%s"" Control"", ""Shiftdisabled"
"The format looks like ""<Control>a"" or ""<Shift><Alt>F1"". The parser is fairly liberal and allows lower or upper case, and also abbreviations such as ""<Ctl>"" and ""<Ctrl>"". If you set the option to the special string ""disabled"", then there will be no keybinding for this action.","Kiibaịndịn eji emechi windo. Ọnọdụ ahụ dị̀ka ""lt;Controlgt;a"" mọọbụ ""lt;Shiftgt;lt;Altgt;F1"". Ọtọsa ngwe dị líbrààlụ̀ mà ná-èkwé kéèsì ala mọọbụ nke elu, ya na inwemkpọbiriaha dị́kà ""lt;Ctlgt;"" na ""lt;Ctrlgt;"".Ọ bụrụ na ihazie ihenhọrọ ahụ n'ahịrịokwuahụ pụrụ iche ""disabled"", mgbe ahụ agaghị enwezi kiibaịndịn maka mmem a."
"The format looks like ""<Control>a"" or ""<Shift><Alt>F1"". The parser is fairly liberal and allows lower or upper case, and also abbreviations such as ""<Ctl>"" and ""<Ctrl>"". If you set the option to the special string ""disabled"", then there will be no keybinding for this action. This keybinding may be reversed by holding down the ""shift"" key; therefore, ""shift"" cannot be one of the keys it uses.","Kiibaịndịn eji emechi windo. Ọnọdụ ahụ dị̀ka ""lt;Controlgt;a"" mọọbụ ""lt;Shiftgt;lt;Altgt;F1"". Ọtọsa ngwe dị líbrààlụ̀ mà ná-èkwé kéèsì ala mọọbụ nke elu, ya na inwemkpọbiriaha dị́kà ""lt;Ctlgt;"" na ""lt;Ctrlgt;"".Ọ bụrụ na ihazie ihenhọrọ ahụ n'ahịrịokwuahụ pụrụ iche ""disabled"", mgbe ahụ agaghị enwezi kiibaịndịn maka mmem a."
Could not create directory '%s': %s,Agaghị ekewapụtanwu ihenlereanya '%s': %s
Could not open session file '%s' for writing: %s,Agaghị emepenwu oge mmem faịlụ '%s' maka ichekwaozi: %s
Error writing session file '%s': %s,Ndehie nchekwaozi oge mmem faịlụ '%s': %s
Error closing session file '%s': %s,Ndehie mmechi oge mmem faịlụ '%s': %s
Failed to read saved session file %s: %s,Ọdịda n'iwepụtaozi nchekwa oge mmem faịlụ %s: %s
Failed to parse saved session file: %s,Ọdịda na ntọsasị nchekwa oge mmem faịlụ: %s
<metacity_session> attribute seen but we already have the session ID,<metacity_session> A hụrụ átrībúùtù mana enwego ID oge mmem
Unknown attribute %s on element,Átrībúùtù a na-amaghị %s na <window> elementị
nested <window> tag,néstéèdì <window> táàgị̀
Unknown element %s,Elementị a na-amaghị %s
These windows do not support &quot;save current setupquot; and will have to be restarted manually next time you log in.,"Windo ndị a anaghị akwado ""save current setup"" ma a ga-ebidogharịa ya n'aka mgbe ọzọ ị banyere."
Failed to open debug log: %s,Ọdịda n'imepe ebe nsogbu sistem; %s
Failed to fdopen() log file %s: %s,Ọdịda fdopen() n'ị́lọ̄ọ̀gụ̀ faịlụ %s: %s
Opened log file %s,Lọọgụ faịlụ emepere emepe %s
Metacity was compiled without support for verbose mode,Atụgharịrị metacity na-enweghị nkwado maka vèbóòsù móòdù
Window manager:,Onyenlekọta windo:
Bug in window manager:,Nsogbu dị̄ n'onyenlekọta windo:
Window manager warning:,Onyenlekọta windo na-ama ọkwa:
Window manager error:,Ndehie onyenlekọta windo:
Metacity,Metacity
"Window %s sets SM_CLIENT_ID on itself, instead of on the WM_CLIENT_LEADER window as specified in the ICCCM.","Windo %s haziri SM_KLAYANTỊ_ID n'onwe ya, kama nke WM_KLAYANTỊ_LEADER windo dịka ezipụtara ya na ICCCM."
"Window %s sets an MWM hint indicating it isn't resizable, but sets min size %d x %d and max size %d x %d; this doesn't make much sense.","Windo %s haziri hịntị MWM na-egosi ya ọ dịghị mmegharị ụhara, ma hazie nwebilata ụhara %d x %d nakwa nbawanye ụhara %d x %d; nke a ewepụtaghị ezi echiche."
Application set a bogus _NET_WM_PID %lu,Usoroiheomume haziri bógọ́ọ̀sụ̀ _NET_WM_PID %ld
"Window 0x%lx has property %s that was expected to have type %s format %d and actually has type %s format %d n_items %d. This is most likely an application bug, not a window manager bug. The window has title=""%s"" class=""%s"" name=""%s""","Windo 0x%lx nwere ngwaọrụ %s nke echere na ọ ga-enwe ụdị %s ọdịdị %d ma kpọmkwem nwee ụdị %s ọdịdị %d n_items %d. Nke a bụ nsogbu usoroiheomume nke kacha nke, ọbụghị nsogbu onyenlekọta windo. Windo ahụ nwere isiokwu=""%s"" kláàsị̀=""%s"" aha=""%s"""
Property %s on window 0x%lx contained invalid UTF-8,Ngwaọrụ %s na windo 0x%lx nwere UTF-8 na-enweghị isi
Property %s on window 0x%lx contained invalid UTF-8 for item %d in the list,Ngwaọrụ %s na windo 0x%lx nwere UTF-8 na-enweghị isi maka ihenhọrọ %d n'ime ihendesịta
Switch to workspace 1,Banye na wọ́kspéèsì 1
Switch to workspace 2,Banye na wọ́kspéèsì 2
Switch to workspace 3,Banye na wọ́kspéèsì 3
Switch to workspace 4,Banye na wọ́kspéèsì 4
Switch to workspace 5,Banye na wọ́kspéèsì 5
Switch to workspace 6,Banye wọ́kspéèsì 6
Switch to workspace 7,Banye na wọ́kspéèsì 7
Switch to workspace 8,Banye na wọ́kspéèsì 8
Switch to workspace 9,Banye na wọ́kspéèsì 9
Switch to workspace 10,Banye na wọ́kspéèsì 10
Switch to workspace 11,Banye na wọ́kspéèsì 11
Switch to workspace 12,Swichie na wọkspeesi 12
Switch to workspace on the left of the current workspace,Banye na wọ́kspéèsì n'akaekpe
Switch to workspace on the right of the current workspace,Banye na wọ́kspéèsì n'akanri
Switch to workspace above the current workspace,Banye na wọ́kspéèsì n'elu nke a
Switch to workspace below the current workspace,Banye na wọ́kspéèsì n'ala nke a
"Move between windows of an application, using a popup window",Kpụgharịa n'etiti windo ya na pọpọp
"Move backward between windows of an application, using a popup window",Kpụghachi fókọ́ọ̀sụ̀ azụ n'etiti windo ndị ahụ n'iji ngosi pọpọp
"Move between windows, using a popup window",Kpụgharịa n'etiti windo ya na pọpọp
"Move backward between windows, using a popup window",Kpụghachi fókọ́ọ̀sụ̀ azụ n'etiti windo ndị ahụ n'iji ngosi pọpọp
"Move between panels and the desktop, using a popup window",Kpụgharịa n'etiti pánēèlụ̀ na desktọ́ọ̀pụ̀ ya na pọpọp
"Move backward between panels and the desktop, using a popup window",Kpụghachi azụ n'etiti pánēèlụ̀ na desktọ́ọ̀pụ̀ ya na pọpọp
Move between windows of an application immediately,Kpụgharịa n'etiti windo ozugbo
Move backward between windows of an application immediately,Kpụghachi azụ n'etiti windo ozugbo
Move between windows immediately,Kpụgharịa n'etiti windo ozugbo
Move backward between windows immediately,Kpụghachi azụ n'etiti windo ozugbo
Move between panels and the desktop immediately,Kpụgharịa n'etiti pánēèlụ̀ na desktọ́ọ̀pụ̀ ozugbo
Move backward between panels and the desktop immediately,Kpụghachi azụ n'etiti pánēèlụ̀ na desktọ́ọ̀pụ̀ ozugbo
Hide all normal windows and set focus to the desktop,Zòó windo niile ma gbado ụkwụ na desktọ́ọ̀pụ̀
Show the panel's main menu,Gosi pánēèlụ̀ menu ahụ
"Show the panel's ""Run Application"" dialog box",Gosi pánēèlụ̀ mbido usoroiheomume dayalọ́ọ̀gụ̀
Take a screenshot,Skrììnshọ́ọ̀tụ̀ọ́
Take a screenshot of a window,Skrììnshọ́ọ̀tụ̀ọ́ na windo
Run a terminal,Bido ngwaọrụ mbupụ na mbubata ozi
Activate the window menu,Mee ka Windo menu rụwa orụ
Toggle fullscreen mode,Pịa na móòdù fúlskríìn
Toggle maximization state,Pịa n'ọnọdụ mbawanye
Toggle whether a window will always be visible over other windows,Budata windo n'okpuru windo ndị ọzọ
