,en,ig
4347,forgetfulness,nchezo
4348,travelers check,cheki turavulas
4349,Black Velvet tamarind,cheleku
4350,wait,chere
4351,animate,chi
4352,purposeful essence,chi
4353,procreative life force,chi
4354,life-force or spiritual essence of an individual,chi
4355,which with he has made a pre-birth contract that determines his life-pattern,chi
4356,God created you and created your personal chi,Chukwu kelu gi
4357,God created you and created your personal chi,kee chi nwe i
4358,God created you and created your personal chi,chi
4359,The same mother,ofu nne na-amu
4360,The same mother,ma ofu chi adi eji
4361,yes,ofu nne na-amu
4362,yes,ma ofu chi adi eji
4363,but not the same chi,ofu nne na-amu
4364,but not the same chi,ma ofu chi adi eji
4365,The same mother,chi
4366,yes,chi
4367,but not the same chi,chi
4368,My chi,Chi m
4369,My chi,ekwenaa
4370,don't let it happen,Chi m
4371,don't let it happen,ekwenaa
4372,A woman's husband is her personal chi . A good chi is responsible for one's success,Di nwaanyi bu chi ya
4373,and a bad chi for one's failure,Di nwaanyi bu chi ya
4374,A woman's husband is her personal chi . A good chi is responsible for one's success,chi
4375,and a bad chi for one's failure,chi
4376,A woman's husband is her personal chi . A good chi is responsible for one's success,chi
4377,and a bad chi for one's failure,chi
4378,I am greater than you and your chi,Aka mm gi ka chi gi
4379,I am greater than you and your chi,chi
4380,I am a man of a bad chi,Abu m onye ajo chi
4381,I am a man of a bad chi,chi
4382,money ritually received for one's chi,ego chi
4383,a goat given to one's mother for her personal chi,ewu chi
4384,which must never be killed,ewu chi
4385,A woman's chi-goat is as sacred as a child,Ewu chi nwaanyi bu ofu uzo nnwa
4386,having the same character or behaviour,ofu chi
4387,fig-tree planted near dwelling to represent one's chi,ogbu chi
4388,life-essence of the universe,ogbu chi
4389,God,ogbu chi
4390,God the Good,Chi oma
4391,if God allows. Usually qualified as Chukwu,ma Chi kwe
4392,if God allows. Usually qualified as Chukwu,Chukwu
4393,if God allows. Usually qualified as Chukwu,Chi Ukwu
4394,if God allows. Usually qualified as Chukwu,Chineke
4395,if God allows. Usually qualified as Chukwu,Chi na-eke
4396,day,chi
4397,day breaks,chi aboo
4398,It is evening,chi anaa
4399,the day declines,chi anaa
4400,day breaks,chi efoo
4401,It is late evening,chi ejimie
4402,night,chi ejimie
4403,The day declines,chi ejiri
4404,It is getting light,chi ekufoo
4405,It is late evening or night,chi emie
4406,It is afternoon,chi erulu
4407,the day draws in,chi erulu
4408,the evening comes on,chi erulu
4409,Darkness  is coming on,chi jirili
4410,Someone very important died in town today,Chi jirili n'obodo taata
4411,period after daybreak as light grows stronger,chi ofifo
4412,period after daybreak as light grows stronger,ofufo
4413,daybreak,chi ofifo
4414,daybreak,ofufo
4415,dawn,bilibili chi
4416,Good morning,I sago chi?
4417,last till dawn,fo chi
4418,last till the following morning,fo chi
4419,Good night,Ka chi foo
4420,dawn,ufochi
4421,dayspring,ufochi
4422,next day,ufochi
4423,make,chi
4424,take title,chi
4425,take or bestow a title,chi echi
4426,become,chi eze
4427,be installed Chief or King,chi eze
4428,Let us go to the place where a Chief is being installed,Ka anyi je ebe a na-echi eze
4429,take a title of a god,chi mmuo
4430,take a title take ozo title,chi ozo
4431,take a title take ozo title,ozo
4432,become fully qualified,chizu
4433,take the highest  title,chizu
4434,This priest has become full qualified,Uko Chukwu nke a echizugo
4435,show,chi
4436,present,chi
4437,Please show the light,Biko chi oku
4438,put drink to someone's lips,Biko chi oku
4439,block,chi
4440,be well-woven,chi anya
4441,tight,chi anya
4442,be deaf,chi nti
4443,obstinate,chi nti
4444,disobedient,chi nti
4445,cover,kpuchi
4446,report,chi
4447,make report of,chi
4448,complain,chi ikpe
4449,make complaint,chi ikpe
4450,tap,chi
4451,cup,chi
4452,d,chi
4453,cup,chi ochi
4454,draw blood,chi ochi
4455,cupping,ochi
4456,drawing blood with horn or horn-shaped calabash from any part of the body to relieve congestion,ochi
4457,swelling,ochi
4458,pain,ochi
4459,etc.,ochi
4460,in place of,chi
4461,take wife of dead relative,kuchi
4462,put in place of,tinyechi
4463,rub forcefully,chi
4464,scrub,chi
4465,scrubbing,ochichi
4466,scrub cloth,chi akwa
4467,wipe off,chichapu
4468,rule off,chichapu
4469,stare,chichapu anya
4470,glare,chichapu anya
4471,be broadminded,chichapu obi
4472,clear the mind of prejudice,chichapu obi
4473,abrase the skin,chifia aru
4474,muzzle,chitulu aru
4475,rub against the body,chitulu aru
4476,move,chi
4477,return,chi azu
4478,turn back,chi azu
4479,return,chigha azu
4480,turn round and round,chighali
4481,be undecided:,chighali
4482,Our troops retreated,Ndi agha ayi
4483,Our troops retreated,chighalu azu
4484,start on a journey,chipu
4485,cheat,chi joobu
4486,unlawfully use part of another's time in attending to one's needs,chi joobu
4487,do petty job as a sideline,chi joobu
4488,bedbug,chinchi
4489,bedbug,idun
4490,chinchin,chinchin
4491,i.e. a type of small biscuit,chinchin
4492,fried hard in small pieces,chinchin
4493,carry,chi
4494,take,chi
4495,taking,ochich?
4496,carrying,ochich?
4497,diarrhoea,afo och?chi
4498,gather in yam tendrils,chi aka ji
4499,bring near,chịdebe
4500,consider,chighali uche
4501,ponder,chighali uche
4502,meditate,chighali uche
4503,put one's mind to,chighali uche
4504,marry a plurality of wives,chi inyeme
4505,gather together,chiko
4506,take the whole number for oneself,chikolu
4507,gather and give entirely,chikota
4508,gather together and bring a whole number,chikota
4509,take to oneself,chili
4510,lift up,chini
4511,lift up hands,chini aka
4512,take off the hands,chini aka
4513,desist from,chini aka
4514,hold up the hands,chinita aka
4515,divine with beads,chi okwe
4516,nuts,chi okwe
4517,pay divine homage to okwe,chi okwe
4518,hence village name,chi okwe
4519,divine with beads,okwe
4520,nuts,okwe
4521,pay divine homage to okwe,okwe
4522,hence village name,okwe
4523,divine with beads,Isi okwe
4524,nuts,Isi okwe
4525,pay divine homage to okwe,Isi okwe
4526,hence village name,Isi okwe
4527,have a strong current,chi omu
4528,take away,chịpu
4529,bring,chita
4530,look after children or young of animals,chi umu
4531,rule,chi umu
4532,govern,chi umu
4533,reign,chi umu
4534,direct,chi umu
4535,rule,ochịchi
4536,government,ochịchi
4537,ruling,ochịchi
4538,the Government of Nigeria,ọchichi Naijiria
4539,rule,chị
4540,govern,chị
4541,cease reigning,chidebe
4542,ruling,chidebe
4543,rule,chikoba
4544,military officer,ochi agha
4545,commanding officer,ochi agha
4546,military leader,ochi agha
4547,male name,ochi agha
4548,the rulers,ndi na-achi achi
4549,members of the government,ndi na-achi achi
4550,be slippery,chị
4551,be slippery:,chị achị
4552,This place is slippery,Ebe a na-achị achị
4553,grunt,chi
4554,make sound with effort,chi
4555,grunt,ọchịchị
4556,sound made with effort,ọchịchị
4557,akwa hard sobbing,ọchịchị
4558,defecation with grunts:,ọchịchị ṅsị
4559,The sick man is defecating with grunts,Onye ọya afụ na-achị ṅsị
4560,cry,chị
4561,chirp,chị
4562,cry very much,chị akwa
4563,sob,chị akwa
4564,cry very much,kwa akwa
4565,sob,kwa akwa
4566,laugh hard or uproariously,chị ọchị
4567,laugh hard or uproariously,mụ amụ
4568,firm,chịm`
4569,firm,chim`
4570,strong,chịmchịm`
4571,strong,chịmchịm
4572,upright,chịmchịm`
4573,upright,chịmchịm
4574,firm:,chịmchịm`
4575,firm:,chịmchịm
4576,Our troops remain in firm control of the city,Ndi agha anyị nọ chịmchịm` n'obodo afụ
4577,be firm,dị chịm`
4578,This chair is very firm,Oche ṅke a dị chịm`
4579,be firm,kwụ chịm`
4580,stand firm,kwụ chịm`
4581,be firmly established or secure in a place,kwụ chịm`
4582,a Bongo Igbo musician from Owerri born Chimuanya Okere,Chimuanya
4583,a Bongo Igbo musician from Owerri born Chimuanya Okere,Chimuanya Okere
4584,God will not allow a bad thing,chineke e kwele ihe ojo
4585,Jehovah,chineke
4586,Jehovah,chukwu
4587,Jehovah,God
4588,Jehovah,Names of God
4589,cheese,chizu
4590,want,cho
4591,want,choro
4592,intend to,choro
4593,God,chukwu
4594,the Great Creator of all things,chukwu
4595,grade,clasi
4596,club soda,clubu soda
4597,display articles for sale,cho
4598,display articles for sale,chobe
4599,want,chọ
4600,desire,chọ
4601,seek,chọ
4602,need:,chọ
4603,My car needs repairs,Ụgbọ m chọlụ ndokwa
4604,seeking,ọchịchọ
4605,desire,ọchịchọ
4606,wish,ọchịchọ
4607,excessive desire,oke ọchịchọ
4608,greed,oke ọchịchọ
4609,seek,chọba
4610,seek for money :,chọ ego
4611,He tries to make money by hook or by crook,Ọ na-achọ ego ri nne
4612,search more than necessary,chọfe
4613,decorate,chọ mma
4614,ornament,chọ mma
4615,provoke,chọ okwu
4616,seek a quarrel,chọ okwu
4617,search out,chọpụta
4618,search out,chọọta
4619,find,chọpụta
4620,find,chọọta
4621,discover,chọpụta
4622,discover,chọọta
4623,seek everywhere,chọsa
4624,find,chọta
4625,seek for peace,chọ udo
4626,go and sleep with friend or relative,chọ ụla
4627,be in season,chọ ụla
4628,on heat,chọ ụla
4629,When a goat is on heat,Ewu Ndụ achọgo
4630,When a goat is on heat,a ga-akpụgalụ ya mkpi Ndụ's
4631,it will be taken to a he-goat,Ewu Ndụ achọgo
4632,it will be taken to a he-goat,a ga-akpụgalụ ya mkpi Ndụ's
4633,be dull,chu
4634,half-done,chu
4635,fade,chu
4636,tarnish,chu
4637,be dull,chu echu
4638,half-done,chu echu
4639,be unripe,chu ichuchu
4640,be wakeful,chu ụla
4641,sleepless,chu ụla
4642,fade,churu
4643,tarnish:,churu
4644,The earring has tarnished,iyeli a echurugo
4645,The earring has tarnished,echugo
4646,be greedy,chu
4647,lazy,chu
4648,gorge,chu
4649,fetch,chu
4650,go away to fetch,chube
4651,go to a spring or stream to draw water,chu iyi
4652,go to fetch water,chu mmili
4653,persevere,chu
4654,persevere,chu uchu
4655,be industrious,chu uchu
4656,God . In Nri belief,Chukwu
4657,God . In Nri belief,Chuku
4658,Chukwu has four major manifestations: Anyanwụ - the sun,Chukwu
4659,Chukwu has four major manifestations: Anyanwụ - the sun,Chuku
4660,which represents Chukwu as everywhere present,Chukwu
4661,which represents Chukwu as everywhere present,Chuku
4662,all-powerful,Chukwu
4663,all-powerful,Chuku
4664,and the source of knowledge,Chukwu
4665,and the source of knowledge,Chuku
4666,Agbala,Chukwu
4667,Agbala,Chuku
4668,manifested in the fertility of the earth and its creatures,Chukwu
4669,manifested in the fertility of the earth and its creatures,Chuku
4670,Chi,Chukwu
4671,Chi,Chuku
4672,the ability of living beings to procreate,Chukwu
4673,the ability of living beings to procreate,Chuku
4674,okike,Chukwu
4675,okike,Chuku
4676,the never-ending process of creation,Chukwu
4677,the never-ending process of creation,Chuku
4678,God . In Nri belief,chi
4679,Chukwu has four major manifestations: Anyanwụ - the sun,chi
4680,which represents Chukwu as everywhere present,chi
4681,all-powerful,chi
4682,and the source of knowledge,chi
4683,Agbala,chi
4684,manifested in the fertility of the earth and its creatures,chi
4685,Chi,chi
4686,the ability of living beings to procreate,chi
4687,okike,chi
4688,the never-ending process of creation,chi
4689,God . In Nri belief,ukwu
4690,Chukwu has four major manifestations: Anyanwụ - the sun,ukwu
4691,which represents Chukwu as everywhere present,ukwu
4692,all-powerful,ukwu
4693,and the source of knowledge,ukwu
4694,Agbala,ukwu
4695,manifested in the fertility of the earth and its creatures,ukwu
4696,Chi,ukwu
4697,the ability of living beings to procreate,ukwu
4698,okike,ukwu
4699,the never-ending process of creation,ukwu
4700,God . In Nri belief,Nri
4701,Chukwu has four major manifestations: Anyanwụ - the sun,Nri
4702,which represents Chukwu as everywhere present,Nri
4703,all-powerful,Nri
4704,and the source of knowledge,Nri
4705,Agbala,Nri
4706,manifested in the fertility of the earth and its creatures,Nri
4707,Chi,Nri
4708,the ability of living beings to procreate,Nri
4709,okike,Nri
4710,the never-ending process of creation,Nri
4711,God . In Nri belief,Anyanwụ
4712,Chukwu has four major manifestations: Anyanwụ - the sun,Anyanwụ
4713,which represents Chukwu as everywhere present,Anyanwụ
4714,all-powerful,Anyanwụ
4715,and the source of knowledge,Anyanwụ
4716,Agbala,Anyanwụ
4717,manifested in the fertility of the earth and its creatures,Anyanwụ
4718,Chi,Anyanwụ
4719,the ability of living beings to procreate,Anyanwụ
4720,okike,Anyanwụ
4721,the never-ending process of creation,Anyanwụ
4722,God . In Nri belief,Chukwu
4723,Chukwu has four major manifestations: Anyanwụ - the sun,Chukwu
4724,which represents Chukwu as everywhere present,Chukwu
4725,all-powerful,Chukwu
4726,and the source of knowledge,Chukwu
4727,Agbala,Chukwu
4728,manifested in the fertility of the earth and its creatures,Chukwu
4729,Chi,Chukwu
4730,the ability of living beings to procreate,Chukwu
4731,okike,Chukwu
4732,the never-ending process of creation,Chukwu
4733,God . In Nri belief,Agbala
4734,Chukwu has four major manifestations: Anyanwụ - the sun,Agbala
4735,which represents Chukwu as everywhere present,Agbala
4736,all-powerful,Agbala
4737,and the source of knowledge,Agbala
4738,Agbala,Agbala
4739,manifested in the fertility of the earth and its creatures,Agbala
4740,Chi,Agbala
4741,the ability of living beings to procreate,Agbala
4742,okike,Agbala
4743,the never-ending process of creation,Agbala
4744,God . In Nri belief,Chi
4745,Chukwu has four major manifestations: Anyanwụ - the sun,Chi
4746,which represents Chukwu as everywhere present,Chi
4747,all-powerful,Chi
4748,and the source of knowledge,Chi
4749,Agbala,Chi
4750,manifested in the fertility of the earth and its creatures,Chi
4751,Chi,Chi
4752,the ability of living beings to procreate,Chi
4753,okike,Chi
4754,the never-ending process of creation,Chi
4755,God . In Nri belief,okike
4756,Chukwu has four major manifestations: Anyanwụ - the sun,okike
4757,which represents Chukwu as everywhere present,okike
4758,all-powerful,okike
4759,and the source of knowledge,okike
4760,Agbala,okike
4761,manifested in the fertility of the earth and its creatures,okike
4762,Chi,okike
4763,the ability of living beings to procreate,okike
4764,okike,okike
4765,the never-ending process of creation,okike
4766,God the Provider,Chukwu Abịama
4767,God has done well,Chukwu emeka
4768,God has done well,male name
4769,God has done well,Igbo land
4770,God the creator,Chukwu okike
4771,the power of God,Ikee Chukwu
4772,the power of God,Ike Chukwu
4773,male name,Ikee Chukwu
4774,male name,Ike Chukwu
4775,minister,Ụkọ Chukwu
4776,pastor,Ụkọ Chukwu
4777,deacon,Ụkọ Chukwu
4778,priest,Ụkọ Chukwu
4779,drive,chụ
4780,pursue,chụ
4781,driving,ọchụchụ
4782,pursuing,ọchụchụ
4783,wean,chụ ala
4784,chase animals,chụ anụ
4785,hase,chụchigha c
4786,drive back,chụchigha c
4787,drive down,chụda
4788,drive up,chụgo
4789,hunt together,chụkọ nta
4790,drive far away,chụmi
4791,drive home,chụna
4792,stir up,chụni
4793,hunt,chụ nta
4794,go hunting,chụ nta
4795,drive,chụ ọsọ
4796,pursue,chụ ọsọ
4797,drive away,chụpụ
4798,out,chụpụ
4799,scatter:,chụsa
4800,This dispels my fears,Ṅke a chụsasịlị egwu na-atụ m
4801,as to give,chụ
4802,offer joyless sacrifice to evil spirits,chụ aja
4803,be,chụ ajụ
4804,feel giddy,chụ ajụ
4805,miss,da
4806,misses,da
4807,madam,da
4808,ma'am,da
4809,warm,da
4810,heat up,da
4811,warm,da n'ọkụ
4812,brand,da ọkụ
4813,cauterize,da ọkụ
4814,melt slowly,daze
4815,press,da
4816,press,dakọ
4817,shirk one's duty,da anya
4818,He is shirking the work,Ụ na-ada anya ọlụ
4819,be lazy,da ṅdamanya
4820,malinger,da ṅdamanya
4821,loaf about,da ṅdamanya
4822,fall,da
4823,befall,da
4824,occur,da
4825,happen to,da
4826,A fight broke out,Ọgụ dalụ
4827,Hailstones are falling,Akụ mmili na-ada
4828,fall,ọdịda
4829,fall of a great or rich person,ọdịda
4830,failure,ọdịda
4831,West,ọdịda anyanwụ
4832,West,ọdịda chi
4833,sunset,ọdịda anyanwụ
4834,sunset,ọdịda chi
4835,fall on the back,da aba
4836,fall,da ada
4837,fall,ada
4838,fall down,da ada
4839,fall down,ada
4840,She fell down,Ụ dalụ ada
4841,lay hands on,da aka
